date,precipitation,avg_temp,max_temp,min_temp
1895-01-01,1.5,7.3,17.3,-2.6
1895-02-01,0.52,8.9,20.7,-2.8
1895-03-01,0.47,25.7,37.3,14.1
1895-04-01,1.21,46.3,59,33.7
1895-05-01,4.33,56.2,69.4,43
1895-06-01,3.08,66.2,79.2,53.3
1895-07-01,2.79,66.7,80.6,52.7
1895-08-01,2.48,67.2,80.5,54
1895-09-01,3.48,62,74,49.9
1895-10-01,0.52,39.8,51.9,27.7
1895-11-01,1.46,28.9,37.7,20.1
1895-12-01,1.4,20.2,27.8,12.5
1896-01-01,1.06,15.4,24.3,6.5
1896-02-01,0.43,18.1,28.6,7.7
1896-03-01,1.52,23.2,33.5,13
1896-04-01,4.85,46.4,57.1,35.6
1896-05-01,4.94,61.5,73.4,49.6
1896-06-01,3.62,66,79.5,52.6
1896-07-01,2.97,68.6,80.8,56.4
1896-08-01,2.88,67.5,80,55
1896-09-01,3.69,54.1,65,43.2
1896-10-01,2.59,41.8,53.2,30.5
1896-11-01,2.96,24.8,33,16.8
1896-12-01,0.81,21.7,29.1,14.2
1897-01-01,1.92,12.6,21.4,3.9
1897-02-01,1.23,19.2,28,10.4
1897-03-01,2.62,24.6,34.7,14.4
1897-04-01,2.17,42.4,52.9,31.9
1897-05-01,1.92,52.8,65.8,39.7
1897-06-01,5.58,62,74,49.9
1897-07-01,4.08,71.5,83.5,59.6
1897-08-01,2.69,63.5,75.4,51.6
1897-09-01,2.29,63.6,76.3,50.9
1897-10-01,1.62,50,61.1,38.8
1897-11-01,1.24,27.8,37,18.6
1897-12-01,0.96,13.3,22.6,4.1
1898-01-01,0.9,18.5,27.6,9.4
1898-02-01,1.53,18.4,28,8.9
1898-03-01,2.38,32.2,42.3,22.1
1898-04-01,1.99,42,53.9,30.1
1898-05-01,2.87,54.9,67.6,42.2
1898-06-01,3.71,65.9,78.3,53.4
1898-07-01,2.4,70.1,83.6,56.5
1898-08-01,3.19,65.9,78.1,53.6
1898-09-01,1.92,61,73.4,48.6
1898-10-01,4.21,44,52.9,35.1
1898-11-01,1.53,29.3,38.6,20
1898-12-01,0.39,12.6,22.5,2.7
1899-01-01,0.93,10.2,20.2,0.3
1899-02-01,1.12,5.7,17,-5.6
1899-03-01,2.21,17.4,28.5,6.4
1899-04-01,2.47,45.4,58,32.8
1899-05-01,4.5,55.1,67.2,42.9
1899-06-01,5.49,65.2,77.5,52.9
1899-07-01,3.15,69.1,81.5,56.7
1899-08-01,3.68,68.6,80.5,56.6
1899-09-01,2.48,55.2,66.9,43.4
1899-10-01,2.92,50.1,61.7,38.5
1899-11-01,0.98,37.7,47.1,28.4
1899-12-01,1.73,18.1,26.3,9.8
1900-01-01,1.01,19.1,27.3,10.9
1900-02-01,1.4,8.1,20.2,-3.9
1900-03-01,1.34,22.4,32.2,12.5
1900-04-01,2.56,46.6,59,34.3
1900-05-01,1.62,57.4,71.3,43.6
1900-06-01,2.03,64.7,78.6,50.9
1900-07-01,7.88,67.5,79.2,55.8
1900-08-01,4.86,72.8,84,61.6
1900-09-01,5.96,59.6,70.4,48.8
1900-10-01,6.1,54.7,65.4,44
1900-11-01,1.36,27.5,34.7,20.3
1900-12-01,0.81,20.8,27.9,13.6
1901-01-01,0.7,14.3,23.9,4.7
1901-02-01,0.67,9.7,21,-1.6
1901-03-01,3,26.1,35.3,16.8
1901-04-01,0.96,45.4,58.3,32.6
1901-05-01,2.3,55.6,69,42.3
1901-06-01,4.11,66.2,79.2,53.2
1901-07-01,4.46,73.7,86,61.4
1901-08-01,1.85,67.8,80.8,54.7
1901-09-01,4.17,57.4,68.8,46.1
1901-10-01,2.48,48.3,59.7,37
1901-11-01,0.89,28.9,37.7,20.1
1901-12-01,0.87,15.1,23.2,7
1902-01-01,0.81,15.4,24.8,6
1902-02-01,1.22,14.2,25.4,3.1
1902-03-01,1.28,34.3,44.7,23.9
1902-04-01,2.02,42.4,54.6,30.1
1902-05-01,5.14,56.9,68.6,45.2
1902-06-01,3.69,60.5,71.9,49.1
1902-07-01,6.23,69.3,80.6,57.9
1902-08-01,2.22,63.9,75.4,52.3
1902-09-01,3.24,55.2,65.8,44.7
1902-10-01,1.89,46.5,57.6,35.5
1902-11-01,2.72,36.4,43.6,29.2
1902-12-01,2.31,16.4,24.5,8.3
1903-01-01,0.49,13,22.6,3.4
1903-02-01,1.04,14.6,25.7,3.4
1903-03-01,2.38,34.1,43.5,24.8
1903-04-01,3.06,43.5,54.9,32.1
1903-05-01,5.59,56.4,68.3,44.4
1903-06-01,1.67,60.9,74.3,47.5
1903-07-01,6.13,67.5,79.1,55.9
1903-08-01,6.35,62.3,72.4,52.2
1903-09-01,5.44,56.7,67.6,45.8
1903-10-01,2.42,47,58.9,35.1
1903-11-01,0.96,27.8,37.3,18.3
1903-12-01,0.84,10.1,19.8,0.5
1904-01-01,0.47,5.7,15.9,-4.4
1904-02-01,1.1,4.7,16.2,-6.8
1904-03-01,2.13,26.1,34.9,17.2
1904-04-01,1.83,37.8,48.9,26.6
1904-05-01,4.45,54.5,67.4,41.6
1904-06-01,3.94,63.1,75.4,50.8
1904-07-01,3.25,65.7,77.7,53.6
1904-08-01,3.02,63.1,75.2,51.1
1904-09-01,4.96,57.2,68.1,46.2
1904-10-01,4.2,46,55.5,36.4
1904-11-01,0.23,35.1,44.9,25.2
1904-12-01,1.84,16.3,24.9,7.7
1905-01-01,0.96,5.9,16.2,-4.5
1905-02-01,1.02,8.8,20,-2.4
1905-03-01,1.62,31.2,40.8,21.6
1905-04-01,1.43,41.8,53.1,30.6
1905-05-01,4.99,52.4,64.5,40.3
1905-06-01,6.47,62.9,74.5,51.4
1905-07-01,3.82,66.7,77.6,55.9
1905-08-01,4.68,67,78.1,55.9
1905-09-01,3.3,60.4,71.5,49.2
1905-10-01,2.77,44.3,54.8,33.8
1905-11-01,1.94,31.8,41,22.7
1905-12-01,0.94,21.6,30.4,12.9
1906-01-01,2.13,18.9,28.5,9.3
1906-02-01,0.73,14.5,25.8,3.3
1906-03-01,2.26,20,29.7,10.4
1906-04-01,1.55,46.2,58.7,33.6
1906-05-01,4.43,53.6,66.3,40.9
1906-06-01,4.62,63.6,75.4,51.8
1906-07-01,2.49,67.2,79.8,54.6
1906-08-01,4.21,68.4,79.6,57.3
1906-09-01,3.54,62.6,74.1,51.1
1906-10-01,2.89,45.4,55.8,34.8
1906-11-01,2.99,31.5,38.2,24.7
1906-12-01,1.52,19.8,27.4,12.1
1907-01-01,1.76,10.4,19.5,1.3
1907-02-01,0.55,16.2,27.8,4.6
1907-03-01,1.74,31.6,41.6,21.6
1907-04-01,2.16,34.8,44.8,24.7
1907-05-01,2.45,46.7,58.7,34.7
1907-06-01,3.21,63.1,75.6,50.6
1907-07-01,4.6,67.4,78.9,55.8
1907-08-01,4.27,64.3,75.8,52.8
1907-09-01,4.95,56.6,66.5,46.6
1907-10-01,0.79,44,55.4,32.5
1907-11-01,1.15,31.2,39.1,23.2
1907-12-01,1.01,21.4,30,12.9
1908-01-01,0.78,17.1,27.2,7
1908-02-01,1.54,18.1,27.1,9
1908-03-01,2.02,29.2,38.9,19.5
1908-04-01,3.36,43.8,55.5,32
1908-05-01,5.06,54.9,66.3,43.5
1908-06-01,4.17,63,74.8,51.2
1908-07-01,3.57,68.7,80.6,56.9
1908-08-01,1.8,65.4,78.2,52.5
1908-09-01,2.4,63.7,77.4,50
1908-10-01,1.54,47.8,58.1,37.5
1908-11-01,1.57,33.4,42.4,24.4
1908-12-01,1.19,18.5,27.3,9.7
1909-01-01,1.15,15,24.3,5.8
1909-02-01,1.54,18.6,28,9.2
1909-03-01,1.23,26.4,35.3,17.6
1909-04-01,4.15,36.5,46,27
1909-05-01,2.85,52.4,64.5,40.3
1909-06-01,3.41,64.6,76.9,52.3
1909-07-01,3.09,67.8,80.6,55
1909-08-01,3.64,69.5,80.9,58
1909-09-01,3.11,57.2,68.8,45.7
1909-10-01,1.4,43.6,54.1,33
1909-11-01,3.82,37.1,45.9,28.2
1909-12-01,2.02,13.2,20.6,5.8
1910-01-01,1.21,12.8,22.9,2.7
1910-02-01,0.77,11.4,23,-0.2
1910-03-01,0.13,40.7,53.5,27.9
1910-04-01,2.94,47.1,60.4,33.8
1910-05-01,2.37,50.4,63.3,37.4
1910-06-01,0.9,66.4,81.5,51.2
1910-07-01,1.95,70.5,85.3,55.7
1910-08-01,3.66,66.6,78.8,54.4
1910-09-01,3.27,57.1,68.6,45.5
1910-10-01,1.35,49.7,61.8,37.6
1910-11-01,1.19,26.2,32.6,19.9
1910-12-01,0.79,15.5,24,7
1911-01-01,0.89,12.3,23,1.7
1911-02-01,1.66,21.2,30.1,12.4
1911-03-01,1.09,31.8,42.7,20.9
1911-04-01,1.66,41.7,52.5,30.9
1911-05-01,4.57,59.6,72.7,46.6
1911-06-01,3.42,69.1,81.6,56.5
1911-07-01,3.99,68.7,81.7,55.6
1911-08-01,3.8,64.5,76.5,52.5
1911-09-01,5.14,57.4,68.4,46.5
1911-10-01,5.74,43.8,52.7,35
1911-11-01,2.54,24.1,32.4,15.7
1911-12-01,2.07,23.9,31.1,16.6
1912-01-01,0.66,-5.1,5,-15.2
1912-02-01,0.55,10.5,20.4,0.6
1912-03-01,0.79,20.3,31.6,9
1912-04-01,2.27,44.4,56.9,32
1912-05-01,5.54,55.2,67.6,42.9
1912-06-01,1.41,62,75.3,48.6
1912-07-01,6.07,68.1,79.6,56.6
1912-08-01,5.95,62.7,72.4,53
1912-09-01,3.65,58.6,69.2,48
1912-10-01,2.04,47.6,59.1,36
1912-11-01,0.87,33.4,42.8,24
1912-12-01,1.87,22.4,31.4,13.4
1913-01-01,0.87,13.6,23.8,3.4
1913-02-01,1.01,10.4,21.3,-0.4
1913-03-01,2.89,23.5,34.8,12.3
1913-04-01,1.97,45,57.1,32.8
1913-05-01,5.51,53,64.8,41.2
1913-06-01,3.12,66.5,79.9,53.1
1913-07-01,6.63,67.6,79.3,55.9
1913-08-01,2.52,67.5,79.1,55.8
