year,commodity,tonnes_per_ha
1961,wheat,1.607
1961,rice,3.8227
1961,maize,3.9184
1961,soybeans,1.6900000000000002
1961,potatoes,22.2021
1961,beans,1.5413
1961,peas,1.1873
1961,barley,1.6489
1961,bananas,10.5447
1962,wheat,1.6809
1962,rice,4.1785000000000005
1962,maize,4.0621
1962,soybeans,1.6302
1962,potatoes,22.0346
1962,beans,1.4049
1962,peas,1.6584
1962,barley,1.8839
1962,bananas,9.7139
1963,wheat,1.6949
1963,rice,4.4449000000000005
1963,maize,4.2596
1963,soybeans,1.6432
1963,potatoes,22.971
1963,beans,1.6153000000000002
1963,peas,1.7396
1963,barley,1.8808
1963,bananas,9.1981
1964,wheat,1.7344000000000002
1964,rice,4.5906
1964,maize,3.9498
1964,soybeans,1.5309
1964,potatoes,21.2448
1964,beans,1.3886
1964,peas,2.0641000000000003
1964,barley,2.0209
1964,bananas,11.4667
1965,wheat,1.7853
1965,rice,4.7693
1965,maize,4.6492000000000004
1965,soybeans,1.6508
1965,potatoes,23.5879
1965,beans,1.2302
1965,peas,1.9469
1965,barley,2.3071
1965,bananas,8.458300000000001
1966,wheat,1.7688
1966,rice,4.8442
1966,maize,4.5892
1966,soybeans,1.7087
1966,potatoes,23.5409
1966,beans,1.4835
1966,peas,1.6228
1966,barley,2.0582000000000003
1966,bananas,9.7531
1967,wheat,1.7375
1967,rice,5.085100000000001
1967,maize,5.0265
1967,soybeans,1.6498000000000002
1967,potatoes,23.4712
1967,beans,1.3769
1967,peas,1.6309
1967,barley,2.1785
1967,bananas,8.978
1968,wheat,1.9116
1968,rice,4.96
1968,maize,4.9891000000000005
1968,soybeans,1.7986
1968,potatoes,23.9308
1968,beans,1.3723
1968,peas,1.6895
1968,barley,2.3557
1968,bananas,7.5825
1969,wheat,2.0580000000000003
1969,rice,4.8399
1969,maize,5.3908000000000005
1969,soybeans,1.8435
1969,potatoes,24.746
1969,beans,1.4431
1969,peas,1.8305
1969,barley,2.4039
1969,bananas,7.444100000000001
