year,commodity,tonnes_per_ha
2023,barley,3.3894
2023,corn,11.0528
2023,soybeans,3.4323
2023,wheat,5.1148
2022,barley,2.959
2022,corn,11.303999999999998
2022,soybeans,3.6342
2022,wheat,5.2494
2021,barley,2.8514
2021,corn,11.303999999999998
2021,soybeans,3.7015
2021,wheat,5.0475
2020,barley,2.4748
2020,corn,10.8644
2020,soybeans,3.4996
2020,wheat,4.6437
2019,barley,2.4748
2019,corn,10.4248
2019,soybeans,3.1631
2019,wheat,4.3072
2018,barley,2.421
2018,corn,10.801599999999999
2018,soybeans,3.2304
2018,wheat,4.7783
2017,corn,10.9272
2017,soybeans,3.1967499999999998
2017,wheat,4.5764
2016,corn,11.1784
2016,soybeans,3.7015
2016,wheat,5.3167
2015,barley,2.959
2015,corn,10.299199999999999
2015,soybeans,3.33135
2015,wheat,4.9802
2014,barley,2.5286
2014,corn,9.7968
2014,soybeans,2.9612
2014,wheat,4.3745
2013,barley,2.6362
2013,corn,9.106
2013,soybeans,2.6247
2013,wheat,3.9034
2012,barley,2.3672
2012,corn,7.536
2012,soybeans,2.8266
2012,wheat,5.0475
2011,barley,2.5286
2011,corn,9.734
2011,soybeans,3.1631
2011,wheat,4.3745
2010,barley,2.5824
2010,corn,10.173599999999999
2010,soybeans,3.39865
2010,wheat,4.3072
2009,barley,3.1742
2009,corn,9.6084
2009,soybeans,2.692
2009,wheat,4.5764
2008,barley,2.9052000000000002
2008,corn,8.6036
2008,soybeans,2.3555
2008,wheat,4.34085
2007,barley,3.0666
2007,corn,8.478
2007,soybeans,2.72565
2007,wheat,4.515829999999999
2006,barley,2.9052000000000002
2006,corn,8.9804
2006,soybeans,2.9612
2006,wheat,5.12826
2005,barley,2.8514
2005,corn,9.2944
2005,soybeans,2.9612
2005,wheat,3.7957199999999998
2004,barley,2.959
2004,corn,8.540799999999999
2004,soybeans,2.32185
2004,wheat,3.74188
2003,barley,2.959
2003,corn,8.101199999999999
2003,soybeans,1.8843999999999999
2003,wheat,4.59659
2002,barley,2.5286
2002,corn,8.478
2002,soybeans,2.9612
2002,wheat,4.038
2001,barley,2.7976
2001,corn,7.975599999999999
2001,soybeans,2.4901
2001,wheat,4.313929999999999
2000,barley,3.4432
2000,corn,8.2896
2000,soybeans,2.692
2000,wheat,4.1053
1999,barley,2.7976
1999,corn,8.9804
1999,soybeans,3.0958
1999,wheat,3.9639699999999998
1998,barley,2.7976
1998,corn,8.6036
1998,soybeans,3.1631
1998,wheat,3.6207399999999996
1997,barley,2.959
1997,corn,8.2896
1997,soybeans,2.9612
1997,wheat,3.77553
1996,barley,2.8514
1996,corn,6.9708
1996,soybeans,2.4901
1996,wheat,2.85352
1995,barley,2.5824
1995,corn,7.159199999999999
1995,soybeans,2.8939
1995,wheat,3.7957199999999998
1994,barley,2.8514
1994,corn,8.8548
1994,soybeans,2.92755
1994,wheat,3.84283
1993,barley,2.4748
1993,corn,5.7776
1993,soybeans,2.3555
1993,wheat,2.51029
1992,barley,2.7976
1992,corn,6.531199999999999
1992,soybeans,2.1536
1992,wheat,2.692
1991,barley,2.4748
1991,corn,7.473199999999999
1991,soybeans,2.8266
1991,wheat,3.24386
1990,barley,2.9052000000000002
1990,corn,7.410399999999999
1990,soybeans,2.7593
1990,wheat,3.53325
1989,barley,3.0666
1989,corn,6.9708
1989,soybeans,2.4901
1989,wheat,3.48614
1988,barley,1.8292
1988,corn,4.207599999999999
1988,soybeans,1.5479
1988,wheat,2.6045100000000003
1987,barley,2.9052000000000002
1987,corn,7.410399999999999
1987,soybeans,2.5574
1987,wheat,3.18329
1986,barley,3.0666
1986,corn,7.410399999999999
1986,soybeans,2.4228
1986,wheat,3.65439
1985,barley,3.1204
1985,corn,6.7196
1985,soybeans,2.1536
1985,wheat,3.77553
1984,barley,2.8514
1984,corn,6.6568
1984,soybeans,2.0863
1984,wheat,3.66785
1983,barley,2.5824
1983,corn,6.0916
1983,soybeans,2.3555
1983,wheat,3.05542
1982,barley,3.0128
1982,corn,6.782399999999999
1982,soybeans,2.0863
1982,wheat,3.08907
1981,barley,2.69
1981,corn,6.782399999999999
1981,soybeans,2.2209
1981,wheat,3.06888
1980,barley,3.1742
1980,corn,6.531199999999999
1980,soybeans,2.2209
1980,wheat,2.6448899999999997
1979,barley,2.9052000000000002
1979,corn,6.468399999999999
1979,soybeans,2.2882
1979,wheat,2.692
1978,barley,2.6362
1978,corn,6.1544
1978,soybeans,2.1536
1978,wheat,2.33531
1977,barley,2.9052000000000002
1977,corn,6.531199999999999
1977,soybeans,2.3555
1977,wheat,2.7593
1976,barley,2.152
1976,corn,4.2703999999999995
1976,soybeans,1.4806
1976,wheat,2.34204
1975,barley,2.3134
1975,corn,5.2124
1975,soybeans,1.71615
1975,wheat,2.03919
1974,barley,2.5824
1974,corn,4.458799999999999
1974,soybeans,1.346
1974,wheat,2.46318
1973,barley,1.9906
1973,corn,5.2124
1973,soybeans,1.6824999999999999
1973,wheat,2.2209
1972,barley,2.421
1972,corn,5.965999999999999
1972,soybeans,1.8843999999999999
1972,wheat,2.09303
1971,barley,2.959
1971,corn,6.1544
1971,soybeans,1.58155
1971,wheat,2.52375
1970,barley,2.69
1970,corn,5.1495999999999995
1970,soybeans,1.6152
1970,wheat,2.40934
1969,barley,2.7976
1969,corn,5.5264
1969,soybeans,1.44695
1969,wheat,2.33531
1968,barley,2.8514
1968,corn,5.965999999999999
1968,soybeans,1.6152
1968,wheat,2.42953
1967,barley,2.69
1967,corn,5.2124
1967,soybeans,1.2787
1967,wheat,2.5035600000000002
1966,barley,2.7438000000000002
1966,corn,5.5264
1966,soybeans,1.346
1966,wheat,2.3555
1965,barley,2.7976
1965,corn,4.772799999999999
1965,soybeans,1.2787
1965,wheat,2.17379
1964,barley,2.4748
1964,corn,4.458799999999999
1964,soybeans,1.11045
1964,wheat,2.2680100000000003
1963,barley,2.959
1963,corn,4.396
1963,soybeans,1.2114
1963,wheat,2.4901
1962,barley,2.2596
1962,corn,4.396
1962,soybeans,1.2114
1962,wheat,2.3824199999999998
1961,barley,2.421
1961,corn,4.5844
1961,soybeans,1.24505
1961,wheat,2.34877
1960,barley,1.9099
1960,corn,3.925
1960,soybeans,1.1441
1960,wheat,2.23436
1959,barley,2.2058
1959,corn,4.458799999999999
1959,soybeans,1.31235
1959,wheat,2.07284
1958,barley,2.5286
1958,corn,3.5481999999999996
1958,soybeans,0.97585
1958,wheat,2.40261
1957,barley,1.883
1957,corn,4.0192
1957,soybeans,1.1441
1957,wheat,1.71615
1956,barley,1.9368
1956,corn,4.2703999999999995
1956,soybeans,1.04315
1956,wheat,1.85748
1955,barley,1.883
1955,corn,3.2969999999999997
1955,soybeans,0.8412499999999999
1955,wheat,1.74307
1954,barley,1.9906
1954,corn,3.8307999999999995
1954,soybeans,1.0095
1954,wheat,1.70269
1953,barley,1.9368
1953,corn,3.8621999999999996
1953,soybeans,0.97585
1953,wheat,1.55463
1952,barley,1.9099
1952,corn,4.0192
1952,soybeans,1.0768
1952,wheat,1.66231
1951,barley,1.8023
1951,corn,3.1399999999999997
1951,soybeans,0.97585
1951,wheat,1.5748199999999999
1950,barley,2.2596
1950,corn,3.0143999999999997
1950,soybeans,1.0095
1950,wheat,1.62866
1949,barley,1.7861600000000002
1949,corn,3.4791199999999995
1949,soybeans,1.0095
1949,wheat,1.53444
1948,barley,2.0444
1948,corn,3.0143999999999997
1948,soybeans,0.8749
1948,wheat,1.5882800000000001
1947,barley,1.9637
1947,corn,2.7946
1947,soybeans,0.8076
1947,wheat,1.7296099999999999
1946,barley,2.0175
1946,corn,2.9202
1946,soybeans,0.8412499999999999
1946,wheat,1.69596
1945,barley,2.152
1945,corn,2.7632
1945,soybeans,0.8749
1945,wheat,1.76999
1944,barley,1.43646
1944,corn,2.8825199999999995
1944,soybeans,0.86144
1944,wheat,1.31235
1943,barley,1.3988
1943,corn,2.8888
1943,soybeans,0.97585
1943,wheat,1.26524
1942,barley,1.7216
1942,corn,2.8888
1942,soybeans,0.8749
1942,wheat,1.4133
1941,barley,1.6678
1941,corn,2.5747999999999998
1941,soybeans,1.0095
1941,wheat,1.13064
1940,barley,2.0175
1940,corn,2.6376
1940,soybeans,1.17775
1940,wheat,1.29889
1939,barley,1.5602
1939,corn,2.49316
1939,soybeans,1.0768
1939,wheat,0.9421999999999999
1938,barley,1.6947
1938,corn,2.4492
1938,soybeans,1.0768
1938,wheat,1.12391
1937,barley,1.3988
1937,corn,2.0724
1937,soybeans,0.8749
1937,wheat,1.04988
1936,barley,1.1029
1936,corn,1.5699999999999998
1936,soybeans,0.673
1936,wheat,0.93547
1935,barley,1.4795
1935,corn,2.198
1935,soybeans,0.8749
1935,wheat,1.09026
1934,barley,1.37728
1934,corn,2.041
1934,soybeans,0.8076
1934,wheat,0.95566
1933,barley,1.1836
1933,corn,2.2607999999999997
1933,soybeans,0.77395
1933,wheat,1.04315
1932,barley,1.614
1932,corn,2.3863999999999996
1932,soybeans,0.8076
1932,wheat,1.29216
1931,barley,1.3988
1931,corn,1.8212
1931,soybeans,0.673
1931,wheat,1.17102
1930,barley,1.8292
1930,corn,2.2293999999999996
1930,soybeans,0.77395
1930,wheat,1.39984
1929,barley,1.5602
1929,corn,2.2922
1929,soybeans,0.7403
1929,wheat,1.3056199999999998
1928,barley,1.7754
1928,corn,2.355
1928,soybeans,0.8412499999999999
1928,wheat,1.2517800000000001
1927,barley,1.6678
1927,corn,1.8212
1927,soybeans,0.673
1927,wheat,1.35273
1926,barley,1.6678
1926,corn,2.0096
1926,soybeans,0.7403
1926,wheat,1.24505
1925,barley,1.7754
1925,corn,2.5119999999999996
1925,soybeans,0.6057
1925,wheat,1.2383199999999999
1924,barley,1.614
1924,corn,1.5386
1924,soybeans,0.6057
1924,wheat,1.6152
